Customer_ID,Age,Annual_Income,Loan_Amount,Debt_Ratio,Monthly_Income,Number_of_Open_Credit_Lines,Number_of_Late_Payments,Credit_Utilization_%,Defaults
10082,60,20045,13164,0.77,5465,13,0,20.73,0
10083,41,115278,6217,0.88,11465,1,1,80.25,0
10084,36,27758,20526,0.26,2108,8,5,35.77,0
10085,65,144325,32270,0.56,9576,8,3,36.02,0
10086,38,145076,27409,0.1,2640,6,4,55.65,0
10087,67,43437,13734,0.67,11870,10,4,45.31,0
10088,44,39585,45121,0.43,6374,14,9,20.6,1
10089,46,118759,37269,0.25,6496,7,0,63.38,0
10090,45,29854,14530,0.7,6423,12,0,29.25,1
10091,65,72076,13394,0.75,9673,13,6,50,1
10092,61,76950,2499,0.19,7735,3,2,30.79,0
10093,49,37349,28539,0.13,6696,9,4,87.18,0
10094,35,116228,10669,0.37,9417,4,7,40.42,0
10095,65,41348,29562,0.6,2238,11,4,89.87,0
10096,21,54296,22629,0.73,8987,2,9,39.35,0
10097,45,121280,26746,0.54,5223,4,8,26.15,0
10098,27,39455,44287,0.56,2157,2,3,61.9,0
10099,29,98824,47007,0.74,8812,12,6,59.96,0
10100,44,74021,19128,0.52,4226,4,7,65.7,0
10101,21,91923,3039,0.59,10801,2,6,37.19,0
10102,64,120825,42079,0.51,4712,12,3,38.8,0
10103,28,59293,4857,0.8,7688,14,7,31.37,0
10104,44,119430,26896,0.29,9537,11,9,93.56,0
10105,31,108552,5950,0.31,3664,8,9,71.47,1
10106,37,66116,24471,0.2,9838,6,9,78.06,0
10107,28,140461,16441,0.76,8302,14,3,27.47,0
10108,55,60484,13735,0.43,6640,8,9,69.54,0
10109,55,50215,23415,0.38,6131,11,7,78.64,0
10110,53,101638,35511,0.89,4729,1,7,40.82,0
10111,25,23404,47051,0.84,6667,9,3,24.19,0
10112,62,57260,43406,0.88,6014,12,4,72.73,0
10113,59,120647,4616,0.21,6729,11,4,65,0
10114,61,85642,16383,0.81,5100,14,4,61.81,1
10115,48,100731,30756,0.36,8125,2,2,26.43,0
10116,27,66009,4894,0.11,6696,8,1,33.62,0
10117,29,112689,39995,0.41,3817,4,0,66.24,1
10118,28,148824,44232,0.51,2421,14,2,65.22,0
10119,32,137842,41615,0.19,6287,2,8,59.93,0
10120,54,49605,5281,0.53,7270,13,6,79.13,0
10121,53,130879,25647,0.76,5390,1,1,83.32,0
10122,68,73205,31036,0.4,9349,12,7,34.89,1
10123,43,57569,19584,0.38,5837,4,7,24.18,0
10124,44,140827,35911,0.37,5529,10,6,28.11,0
10125,57,25580,33308,0.84,4478,1,5,35.32,1
10126,55,134902,48548,0.14,10779,8,1,95.3,0
10127,64,25400,29333,0.46,7277,2,3,22.34,0
10128,60,59643,36949,0.31,8041,8,0,89.09,0
10129,42,116185,20259,0.82,8531,10,6,28.3,0
10130,47,148458,32794,0.18,3596,1,1,41.36,0
10131,55,116032,40288,0.43,7072,7,5,21.33,0
10132,21,147319,14052,0.43,3692,7,8,19.3,0
10133,55,138977,13271,0.81,2416,5,4,18.56,1
10134,57,106173,46267,0.27,6266,3,4,40.85,0
10135,67,126960,33175,0.62,6922,6,3,57.13,0
10136,34,59015,9915,0.21,10119,11,0,28.07,0
10137,23,91713,17122,0.86,4588,5,3,93.94,1
10138,21,92805,45199,0.57,5676,9,8,62.78,0
10139,25,34974,7918,0.6,11923,4,8,89.66,0
10140,46,34037,41916,0.45,8110,9,6,23.39,0
10141,34,104292,31437,0.37,8738,14,3,22.91,0
10142,59,36167,46806,0.27,7733,10,8,86.21,0
10143,47,108754,14805,0.58,10400,6,4,61.12,1
10144,29,110703,20598,0.86,5163,9,9,94.47,1
10145,35,63148,41517,0.39,3481,3,1,23.22,0
10146,35,92153,3871,0.81,2888,12,8,12.34,0
10147,46,41534,38257,0.22,9894,14,5,92.49,0
10148,62,110995,38375,0.85,4802,13,4,72.9,1
10149,33,142790,46741,0.38,5601,1,9,82.65,0
10150,52,106078,45879,0.4,4717,12,7,36.64,0
10151,59,76879,24148,0.47,11794,6,1,10.28,0
10152,69,139894,6834,0.67,7316,4,4,53.46,0
10153,52,85839,43680,0.68,9838,11,9,99.1,1
10154,24,49756,4399,0.48,6181,10,7,91.68,0
10155,50,32683,22762,0.52,10671,4,3,16.48,0
10156,57,69485,41372,0.12,10427,4,9,26.9,1
10157,43,118231,11957,0.34,10386,1,9,38.01,0
10158,59,31025,41499,0.38,9158,5,8,84.74,0
10159,65,106426,29340,0.55,7552,9,6,84.22,1
10160,35,38715,28138,0.55,2353,3,6,26.65,0
10161,63,90097,16808,0.67,1747,12,8,57.98,0
10162,49,118383,29243,0.67,11871,2,2,55.16,0
10163,56,122067,3261,0.29,7992,12,2,47.29,1
10164,33,112943,12809,0.72,6037,2,9,58.23,0
10165,52,107116,18696,0.12,11995,10,6,36.35,0
10166,27,95705,43824,0.67,11101,7,1,57.84,1
10167,42,37116,22891,0.18,3963,14,9,71.7,0
10168,48,56744,20125,0.68,5237,6,2,15.63,0
10169,22,144697,1997,0.52,10677,2,5,97.06,1
10170,62,107579,48923,0.45,7281,13,8,24.88,0
10171,65,136072,7353,0.65,7973,1,3,42.43,0
10172,26,22124,19703,0.13,8811,7,4,52.36,0
10173,48,124956,36975,0.28,6866,14,5,13.69,0
10174,48,58051,10275,0.59,4634,11,2,59.35,0
10175,64,27176,20965,0.78,5500,6,1,88.3,0
10176,64,111310,33419,0.4,11624,5,3,91.09,1
10177,40,141293,49642,0.31,9170,5,5,39.36,0
10178,50,84818,36854,0.51,8903,10,3,60.29,0
10179,31,140395,16973,0.6,11112,13,7,79.91,0
10180,48,38676,24550,0.44,6396,3,8,32.76,0
10181,45,65177,27878,0.8,1622,11,7,57.56,0
10182,59,110296,18105,0.52,3817,12,6,43,0
10183,53,130623,48638,0.13,7651,5,1,44.04,0
10184,21,20997,34922,0.28,8373,14,9,18.47,0
10185,47,79330,17029,0.46,7985,12,1,46.62,0
10186,33,63769,40935,0.66,10377,6,9,24.48,1
10187,61,122968,33784,0.28,3161,11,4,37.11,0
10188,23,137045,32601,0.88,11612,7,3,39.73,0
10189,59,140179,40865,0.35,8982,7,3,48.75,1
10190,26,136367,32545,0.53,4375,13,3,92.52,0
10191,28,98653,14165,0.12,8391,10,6,66.79,0
10192,47,140403,19616,0.81,3663,10,2,97.7,1
10193,29,31231,12654,0.73,4338,8,1,63.16,0
10194,57,115287,18830,0.26,4960,5,4,82.49,0
10195,53,139574,17205,0.85,8752,14,5,85.07,1
10196,62,92976,43425,0.35,9299,4,7,76.51,0
10197,64,145391,12959,0.65,11611,12,2,70.29,0
10198,44,141509,23158,0.76,11789,7,3,47.61,0
10199,35,105447,12819,0.69,10863,2,3,61.05,0
10200,52,129522,36851,0.83,2054,8,3,27.43,0
10201,52,75965,43503,0.79,9425,4,6,65.64,0
10202,44,101144,7952,0.9,5508,10,3,56.29,1
10203,61,137433,25225,0.25,6101,1,6,82.39,0
10204,69,115201,48405,0.34,3316,2,3,91.23,0
10205,69,81517,43231,0.61,9039,1,9,21.95,0
10206,32,112693,6391,0.69,11569,5,7,72.18,1
10207,59,114315,15468,0.53,1688,1,4,95.5,0
10208,22,115504,16091,0.16,2940,11,1,92.61,0
10209,23,47387,31237,0.77,2720,14,8,85.1,1
10210,69,24090,48732,0.87,4097,12,8,14.35,0
10211,57,140846,9964,0.42,8167,9,0,32.72,1
10212,69,44945,41682,0.28,11753,11,4,23.35,0
10213,37,60239,48244,0.12,4407,11,2,93.42,1
10214,69,23743,27968,0.29,7183,4,9,77.4,0
10215,22,50924,41205,0.66,3215,10,4,57.86,0
10216,22,30196,12371,0.83,9309,3,3,98.15,1
10217,48,111815,43541,0.17,7610,14,2,27.52,1
10218,43,125312,26681,0.54,2111,9,6,67.74,0
10219,57,88860,29285,0.66,1783,4,4,64.84,0
10220,52,61400,38971,0.32,4170,1,0,40.64,0
10221,53,105177,16430,0.56,11319,2,3,53.68,0
10222,21,113018,46230,0.67,3111,4,0,31.18,0
10223,39,118530,10033,0.77,10408,11,2,70.94,0
10224,22,100399,20918,0.46,10373,1,9,47.64,0
10225,64,68795,19256,0.7,8664,6,9,12.12,0
10226,46,71553,49522,0.34,9130,7,4,95.57,0
10227,52,123022,32188,0.27,5756,1,5,55.13,0
10228,26,135712,37088,0.25,5769,6,0,73.51,0
10229,52,123976,15979,0.39,3022,3,9,27.72,0
10230,24,44111,3728,0.13,11051,7,8,21.45,0
10231,31,133566,2595,0.33,3573,11,8,91.22,0
10232,37,146371,33624,0.62,3289,2,0,63.18,0
10233,58,83083,32568,0.62,4870,2,6,54.4,0
10234,44,139968,3288,0.16,3984,11,3,56.9,0
10235,25,81600,40613,0.33,11510,4,1,31.26,0
10236,54,70022,41431,0.56,8402,11,1,92.14,0
10237,26,23199,30011,0.35,3558,8,5,29.28,0
10238,42,70897,18127,0.43,8905,3,5,24.22,0
10239,31,58038,18878,0.67,4166,8,4,93.7,0
10240,68,143323,7944,0.11,2933,7,2,33.18,1
10241,36,75038,13302,0.32,4884,5,6,87.62,0
10242,53,140278,43948,0.21,2022,12,2,79.53,0
10243,29,131054,1207,0.2,3193,4,6,44.37,0
10244,26,27897,2083,0.87,5683,14,1,32.86,0
10245,36,84541,4311,0.4,11981,10,7,78.31,0
10246,49,126968,24135,0.52,10847,10,1,63.78,1
10247,23,34892,42356,0.69,2097,2,1,32.86,0
10248,40,28271,32219,0.14,11337,9,3,90.18,0
10249,56,123462,17592,0.29,8995,4,9,74.89,0
10250,39,44815,47212,0.77,11850,5,0,91.84,0
10251,46,65612,24932,0.79,3836,2,6,49.37,1
10252,23,53357,20040,0.4,7717,2,1,21.54,0
10253,39,95088,6850,0.4,11549,2,5,93.17,1
10254,40,36267,32716,0.71,9183,10,4,64.13,0
10255,52,38268,13719,0.34,3214,2,4,64.55,0
10256,27,134463,22777,0.19,4676,9,3,62.58,0
10257,61,34263,18022,0.31,9894,13,4,52.52,1
10258,53,90935,34996,0.41,4398,12,8,32.95,0
10259,60,115347,28945,0.14,2764,5,0,65.17,0
10260,59,79660,29788,0.48,8443,11,1,74.67,0
10261,38,85527,5019,0.69,8350,6,6,92.49,1
10262,60,83379,10482,0.51,10929,4,8,16.49,0
10263,21,114542,47873,0.16,3054,2,2,32.92,0
10264,31,61271,19580,0.45,8879,3,5,79.9,0
10265,48,86612,10895,0.67,9744,14,4,79.76,0
10266,45,27235,15135,0.15,2171,3,8,29.08,0
10267,43,108757,11387,0.15,10382,11,8,26.62,0
10268,51,36417,30136,0.4,9774,11,9,43.04,0
10269,50,118075,18359,0.26,5068,10,2,15.66,0
10270,62,54609,48672,0.85,2951,8,9,75.73,1
10271,55,122785,7121,0.57,6813,8,9,70.28,0
10272,27,143128,34796,0.33,6737,6,1,87.29,0
10273,36,53902,17909,0.66,8478,11,9,48.7,1
10274,46,43645,3327,0.4,8538,13,3,67.31,0
10275,68,82873,19930,0.21,7543,10,8,95.86,0
10276,69,107218,36251,0.29,11712,11,2,96.29,0
10277,22,84558,36502,0.61,8638,8,3,16.4,1
10278,21,82233,32547,0.14,11817,3,1,10.17,1
10279,68,131443,32688,0.32,10867,7,0,96.4,1
10280,32,43401,43498,0.27,2579,5,4,58.18,0
10281,25,27771,43870,0.26,9485,14,3,73.04,0
10282,57,61335,8304,0.65,10974,9,9,92.13,1
10283,52,94451,5049,0.76,2034,9,1,48.98,1
10284,29,99434,15947,0.67,9261,5,5,49.66,0
10285,61,87449,10495,0.62,6166,6,4,25.03,0
10286,55,122601,25707,0.83,6173,1,0,91.52,0
10287,39,112604,34160,0.15,3662,12,9,68.29,0
10288,68,21942,45544,0.23,11518,14,2,26.22,0
10289,36,40388,44635,0.43,5498,12,3,60.38,0
10290,23,145224,31706,0.4,8117,14,0,39.53,0
10291,40,103251,36234,0.43,9001,4,7,23.25,0
10292,44,77042,34993,0.27,5192,1,2,26.37,0
10293,53,73740,15987,0.22,11531,4,4,60.33,0
10294,44,85873,20089,0.51,8976,12,2,60.79,0
10295,31,67024,1461,0.84,5559,1,3,81.09,0
10296,69,43450,10993,0.41,10022,13,8,32.32,0
10297,28,76965,12465,0.13,7163,14,2,92.43,0
10298,56,30057,17535,0.66,3027,10,7,56.68,0
10299,58,113249,33640,0.33,8551,4,5,28.38,0
10300,60,28983,11461,0.3,2073,6,5,47.2,0
10301,40,39995,13366,0.36,7646,9,0,93.1,0
10302,55,134587,30895,0.68,9050,2,6,53.03,0
10303,68,122004,2785,0.76,5195,2,3,88.72,0
10304,45,111628,7242,0.57,2023,6,7,24.38,0
10305,55,97681,25529,0.36,10863,11,8,92.26,1
10306,45,58886,48080,0.35,11113,10,1,48.76,0
10307,49,109025,7356,0.2,11923,12,7,94.25,0
10308,38,116572,24229,0.85,3716,13,7,87.95,1
10309,66,115149,20844,0.61,11847,6,5,69.4,0
10310,38,114020,19220,0.12,7836,12,2,70.56,0
10311,22,22673,43357,0.63,10543,3,4,29.04,0
10312,55,54890,26651,0.46,6979,2,1,64.25,0
10313,36,97513,32686,0.88,9210,14,5,59.45,0
10314,61,43466,23127,0.76,10871,3,2,40.07,0
10315,56,126554,23662,0.24,5095,12,3,55.51,0
10316,53,112545,35261,0.68,5867,12,8,93.62,1
10317,24,136750,26360,0.49,7356,4,9,10.48,0
10318,53,70406,38931,0.25,11551,13,4,47.54,0
10319,34,23688,43380,0.66,6501,4,6,40.03,0
10320,41,89284,15297,0.54,2237,7,8,96.51,0
10321,68,124646,39472,0.12,4318,4,4,97.65,0
10322,40,134579,23788,0.62,6842,10,0,62.71,0
10323,28,33665,40456,0.61,3663,14,1,59.5,0
10324,27,122434,28011,0.22,4576,6,2,91.29,0
10325,23,40641,49603,0.38,8416,6,2,10.59,0
10326,37,52500,29057,0.57,10218,13,0,60.61,0
10327,53,55797,19447,0.21,1948,14,8,12.22,0
10328,68,104766,19404,0.78,8934,10,8,97.13,1
10329,32,65950,22141,0.12,8373,3,3,38.81,0
10330,42,45046,23307,0.18,8197,9,8,56.87,0
10331,42,149554,11341,0.19,5661,14,3,47.58,1
10332,66,122339,41121,0.52,9496,10,7,90.43,1
10333,50,133431,10142,0.6,11543,14,2,99.98,0
10334,58,121203,49034,0.42,9577,5,8,16.15,0
10335,58,29638,41984,0.33,1619,10,3,75.88,0
10336,65,106363,16932,0.75,5984,9,7,43.12,0
10337,28,41173,13017,0.15,4347,10,1,22.52,0
10338,47,33222,34337,0.32,3290,6,6,46.49,1
10339,47,70064,38880,0.13,4517,6,1,99.83,1
10340,54,57010,2355,0.11,1850,9,4,42.18,0
10341,41,142229,41824,0.38,11894,13,8,34.97,0
10342,50,38095,17086,0.26,6957,10,4,86.16,0
10343,53,143554,22515,0.31,11244,13,3,88.11,0
10344,48,21439,15220,0.76,3750,5,7,40.5,0
10345,67,145614,48266,0.23,6560,3,4,36.88,0
10346,53,123917,34602,0.72,8083,3,8,68.26,0
10347,25,105550,12308,0.64,4737,2,8,28.47,0
10348,68,25375,1969,0.36,8022,2,1,53.53,0
10349,39,109023,34360,0.54,9739,14,9,22.72,0
10350,24,127181,1254,0.46,11968,6,8,37.43,0
10351,55,111238,11306,0.2,7347,8,7,36.77,0
10352,69,40600,28541,0.83,6894,13,9,72.54,1
10353,37,22466,3661,0.56,3392,11,6,35.4,0
10354,64,145277,16309,0.8,2397,8,5,90.86,1
10355,48,126128,42562,0.76,3238,8,3,98.47,0
10356,50,65097,19223,0.16,10660,10,6,17.3,1
10357,49,129934,6905,0.27,5606,7,5,45.79,1
10358,66,73276,3431,0.22,4003,2,7,37.17,0
10359,26,70117,8756,0.76,7560,10,0,41.68,0
10360,55,66971,6353,0.79,6650,11,2,33.88,0
10361,61,26928,2737,0.52,8246,2,7,44.44,0
10362,57,108016,17868,0.18,11162,13,1,22.73,0
10363,44,75309,33476,0.21,4999,10,8,35.18,0
10364,49,94647,25325,0.75,4061,7,1,77.3,1
10365,69,60888,13326,0.84,5994,4,8,40.96,0
10366,66,115025,25586,0.26,5103,6,6,28.71,1
10367,51,63832,13911,0.11,1886,9,3,19.76,0
10368,55,136196,30080,0.36,8261,5,2,41.32,0
10369,53,29404,23635,0.12,9474,10,7,67.91,0
10370,41,53639,6213,0.76,6949,4,9,32.8,0
10371,52,98118,39995,0.49,9829,3,6,48.02,1
10372,43,80598,28940,0.61,5251,7,9,95.72,1
10373,53,86399,45047,0.43,4200,7,0,59.71,0
10374,23,133187,49604,0.38,7344,7,6,57.87,0
10375,38,130449,24365,0.28,9991,5,0,46.89,0
10376,45,47684,9796,0.72,1531,13,0,60.12,0
10377,62,88591,18352,0.66,4004,10,4,98.61,0
10378,51,139821,17820,0.39,10233,8,9,32.84,0
10379,23,97722,11966,0.36,4956,11,4,94.77,0
10380,60,22682,47735,0.1,11783,2,1,23.42,0
10381,66,131186,2809,0.15,2046,4,6,20,0
10382,44,58046,40314,0.6,2483,1,2,68.92,0
10383,52,132109,41875,0.51,5640,6,0,32.61,0
10384,67,41832,6505,0.45,10071,6,6,50,1
10385,42,36997,31649,0.76,1996,3,3,75.67,0
10386,43,54640,6257,0.5,3415,1,3,58.14,0
10387,22,96882,16051,0.41,6554,12,2,11.24,0
10388,47,60491,5909,0.23,11877,5,6,37.53,0
10389,62,83043,28345,0.76,9226,12,1,15.82,1
10390,22,132175,15866,0.56,9876,14,6,93.35,0
10391,46,148568,43789,0.17,1988,1,9,81.52,0
10392,37,134250,25868,0.62,11757,3,7,98.55,1
10393,60,92725,49126,0.44,3220,8,1,89.66,0
10394,53,148131,29527,0.75,8278,10,7,52.78,0
10395,29,65520,1461,0.84,1670,9,6,89.43,1
10396,63,82919,29460,0.58,10091,3,9,70.52,0
10397,68,129869,49500,0.69,9930,9,7,57.21,0
10398,59,84442,4233,0.15,2840,7,2,43.36,0
10399,49,149953,13128,0.55,9582,8,5,71.29,0
10400,62,41770,6202,0.7,5915,6,0,63.11,0
10401,46,125246,36707,0.5,8120,13,6,65.28,0
10402,55,67498,32258,0.57,11040,14,3,45.98,1
10403,45,129687,48965,0.82,9422,5,3,76.54,0
10404,44,149269,32238,0.26,6354,10,8,17.32,0
10405,33,143447,14722,0.18,3589,13,6,75.35,0
10406,27,81477,46766,0.65,1733,8,7,75.77,1
10407,56,20244,19047,0.76,2055,12,5,56.43,0
10408,65,52788,4301,0.78,11646,14,1,33.7,0
10409,40,115341,33544,0.61,6271,14,2,56.73,0
10410,21,99453,32583,0.77,5233,14,3,21.08,0
10411,28,77737,28513,0.66,4775,2,1,35.66,0
10412,66,66489,16640,0.17,6503,7,0,47.92,0
10413,36,147962,23413,0.71,10494,14,8,70.59,1
10414,34,91303,17805,0.24,8973,1,9,26.85,0
10415,32,48390,21133,0.29,6446,7,1,24.24,0
10416,43,30247,49899,0.42,2496,6,4,64.7,0
10417,35,89051,22355,0.35,2345,4,6,71.16,0
10418,48,79719,24229,0.36,8153,3,1,17.53,0
10419,54,54678,5433,0.24,2819,9,5,12.98,0
10420,22,143169,34033,0.34,5617,6,9,23.24,1
10421,52,107802,36618,0.12,11402,14,7,91.09,0
10422,43,96286,2378,0.48,6603,6,6,70.54,0
10423,42,49583,7503,0.71,9933,13,5,92.89,1
10424,45,143240,40925,0.79,4390,1,7,69.82,0
10425,42,28076,43774,0.76,4125,5,1,96.87,0
10426,42,38006,34617,0.43,7013,12,3,49.5,0
10427,69,35051,5814,0.68,10144,7,3,63.92,0
10428,62,24314,24763,0.33,3129,14,6,64.11,0
10429,26,48670,11000,0.14,11952,4,6,10.28,1
10430,35,120757,16288,0.64,4812,12,2,12.47,1
10431,63,87551,4274,0.62,8636,14,3,23.07,0
10432,57,144920,15227,0.74,6217,2,0,56,0
10433,53,30236,18279,0.59,2058,13,7,48.75,0
10434,28,55568,10368,0.23,9570,9,3,58.58,0
10435,64,80314,45713,0.78,2568,6,4,82.04,0
10436,64,127327,43736,0.6,9536,9,4,84,0
10437,25,144673,32006,0.75,10952,8,0,97.93,0
10438,59,130188,28380,0.72,7398,1,0,60.18,0
10439,24,111903,28968,0.34,6102,2,6,41.25,0
10440,26,36352,10651,0.16,9310,2,0,37.72,0
10441,65,145721,14903,0.24,9496,13,8,40.67,0
10442,52,148219,19927,0.17,1949,2,5,39.14,0
10443,50,65650,8771,0.29,5139,14,0,45.36,0
10444,67,30346,14460,0.47,3413,4,0,16.74,0
10445,55,45156,5637,0.83,6133,7,4,67.01,0
10446,60,75904,46690,0.8,7473,7,2,61.12,0
10447,36,34035,41834,0.67,9424,1,7,51.58,0
10448,33,142141,4553,0.12,6828,8,7,17.3,0
10449,62,36108,35117,0.37,6909,4,9,18.39,1
10450,50,149031,36754,0.65,4045,8,7,59.06,0
10451,39,22853,24580,0.2,9386,10,5,13.29,0
10452,37,104156,12522,0.74,6311,9,4,75.23,0
10453,39,24176,35890,0.83,6827,7,4,99.44,0
10454,48,120459,29204,0.38,4961,3,5,63.77,0
10455,46,45920,14892,0.66,9033,12,5,75.11,1
10456,57,74850,9689,0.22,2959,3,9,49.5,0
10457,46,26829,29063,0.65,10612,5,8,70.07,1
10458,43,143225,15062,0.12,7982,7,6,68.66,1
10459,29,120190,2363,0.22,1956,14,5,84.17,0
10460,32,124775,17691,0.67,9668,12,9,74.02,1
10461,21,110666,3751,0.67,11576,7,6,77.41,1
10462,21,138458,8782,0.61,7030,9,2,60.1,0
10463,67,130893,18648,0.48,2144,1,1,53.61,0
10464,54,93927,13540,0.64,7209,14,9,51.28,0
10465,52,104860,46991,0.72,8764,3,6,45.28,0
10466,68,138178,6339,0.87,11902,1,2,33.94,0
10467,45,131654,28020,0.81,6438,6,3,13,0
10468,60,60667,28609,0.74,8863,12,1,70.4,0
10469,65,85842,6848,0.66,7247,10,4,91.09,0
10470,21,55843,17877,0.56,5756,7,4,93.74,0
10471,36,70808,19405,0.2,5850,2,9,62.25,0
10472,59,50543,49629,0.23,10785,14,9,18.47,1
10473,25,92780,47233,0.76,4261,9,0,89.08,0
10474,42,26611,22471,0.74,11734,13,3,77.3,0
10475,49,108242,4302,0.59,9727,12,2,32.63,1
10476,23,104612,15437,0.45,8373,5,6,82.32,0
10477,32,66902,48930,0.12,1969,3,4,52.48,0
10478,46,136452,15512,0.36,10000,14,5,89.88,0
10479,36,53043,33436,0.44,7517,7,1,32.28,0
10480,57,25271,24511,0.49,10172,7,0,82.08,0
10481,42,92867,6022,0.84,7458,1,2,74.07,0
10482,49,97089,44239,0.19,8347,6,9,11.3,0
10483,34,78745,7155,0.52,10480,3,2,60.7,0
10484,48,116876,32480,0.39,1790,7,9,74.4,0
10485,25,82077,39022,0.89,1929,5,6,24.08,0
10486,67,79119,26332,0.79,2097,4,6,57.87,0
10487,69,31573,5354,0.45,9550,13,9,37.37,0
10488,50,41409,32847,0.9,6027,10,5,72.66,1
10489,66,105970,36284,0.51,3057,7,3,58.61,0
10490,25,44464,49640,0.23,8289,13,7,65.93,0
10491,32,138148,11156,0.54,6100,13,9,16.53,0
10492,36,62840,23453,0.28,9555,13,1,22.4,1
10493,46,68785,33689,0.61,2172,7,6,59.69,0
10494,46,138523,24758,0.85,4354,8,0,26.31,0
